Ranking,Player,Team,Salary
110,Gerald Henderson,Philadelphia 76ers,"$8,801,956"
111,Jeff Teague,Indiana Pacers,"$8,800,000"
112,Ersan Ilyasova,Oklahoma City Thunder,"$8,400,000"
113,Dwight Powell,Dallas Mavericks,"$8,375,000"
114,Avery Bradley,Boston Celtics,"$8,269,663"
115,E'Twaun Moore,New Orleans Pelicans,"$8,081,363"
116,Darrell Arthur,Denver Nuggets,"$8,070,175"
117,Kosta Koufos,Sacramento Kings,"$8,046,500"
118,Garrett Temple,Sacramento Kings,"$8,000,000"
119,George Hill,Utah Jazz,"$8,000,000"
120,Sergio Rodriguez,Philadelphia 76ers,"$8,000,000"
121,Tyler Zeller,Boston Celtics,"$8,000,000"
122,Trevor Ariza,Houston Rockets,"$7,806,971"
123,Channing Frye,Cleveland Cavaliers,"$7,806,971"
124,Jose Calderon,Los Angeles Lakers,"$7,708,427"
125,Al-Farouq Aminu,Portland Trail Blazers,"$7,680,965"
126,Cole Aldrich,Minnesota Timberwolves,"$7,643,979"
127,Corey Brewer,Houston Rockets,"$7,612,172"
128,Markieff Morris,Washington Wizards,"$7,400,000"
129,Festus Ezeli,Portland Trail Blazers,"$7,400,000"
130,JJ Redick,LA Clippers,"$7,377,500"
131,Cory Joseph,Toronto Raptors,"$7,315,000"
132,D.J. Augustin,Orlando Magic,"$7,250,000"
133,Boris Diaw,Utah Jazz,"$7,000,000"
134,Louis Williams,Los Angeles Lakers,"$7,000,000"
135,Boban Marjanovic,Detroit Pistons,"$7,000,000"
136,Ed Davis,Portland Trail Blazers,"$6,666,667"
137,Isaiah Thomas,Boston Celtics,"$6,587,132"
138,Victor Oladipo,Oklahoma City Thunder,"$6,552,961"
139,Jodie Meeks,Orlando Magic,"$6,540,000"
140,Jeremy Lamb,Charlotte Hornets,"$6,511,628"
141,Carl Landry,Philadelphia 76ers,"$6,500,000"
142,Aron Baynes,Detroit Pistons,"$6,500,000"
143,Tim Duncan,San Antonio Spurs,"$6,393,750"
